sender_domain,domain_length,special_chars_in_domain,is_secure,hyperlink_count,blank_subject,contains_suspicious_keyword,has_attachment,contains_suspicious_keyword_body,urgent_tone,label
ebay.com>,9,2,False,7,False,False,False,False,False,phishing
lasallebank.com,15,1,False,1,False,False,False,False,False,phishing
ebay.com>,9,2,False,13,False,False,False,False,False,phishing
eBay.com>,9,2,False,0,False,False,False,False,False,phishing
ebay.com>,9,2,False,6,False,False,False,False,False,phishing
lloydstsb.com>,14,2,False,4,False,False,False,False,False,phishing
southtrust.com>,15,2,False,1,False,False,False,False,False,phishing
paypal.com>,11,2,False,3,False,False,False,False,False,phishing
paypal.com>,11,2,False,1,False,False,False,False,False,phishing
email.paypal.com>,17,3,False,1,False,False,False,False,False,phishing
ebay.com>,9,2,False,2,False,False,False,False,False,phishing
ebay.com>,9,2,False,12,False,False,False,False,False,phishing
eBay.com>,9,2,False,7,False,False,False,False,False,phishing
email.paypal.com>,17,3,False,2,False,False,False,False,False,phishing
paypal.com>,11,2,False,1,False,False,False,False,False,phishing
ebay.com>,9,2,False,12,False,False,False,False,False,phishing
paypal.com>,11,2,False,1,False,False,False,False,False,phishing
paypal.com>,11,2,False,1,False,False,False,False,False,phishing
paypal.com>,11,2,False,1,False,False,False,False,False,phishing
email.paypal.com>,17,3,False,3,False,False,False,False,False,phishing
bankofthewest.com>,18,2,False,3,False,False,False,False,False,phishing
paypal.com>,11,2,False,12,False,False,False,False,False,phishing
ebay.com>,9,2,False,5,False,True,False,False,False,phishing
bankofthewest.com>,18,2,False,1,False,False,False,False,False,phishing
paypal.com,10,1,False,4,False,True,False,False,False,phishing
bankofthewest.com>,18,2,False,2,False,False,False,False,False,phishing
ebay.com>,9,2,False,2,False,False,False,False,False,phishing
paypal.com,10,1,False,1,False,False,False,False,False,phishing
mail2.domain.com,16,2,False,2,False,False,False,False,False,phishing
ebay.com>,9,2,False,12,False,False,False,False,False,phishing
pellin.us>,10,2,False,3,False,False,False,False,False,phishing
frostbank.com>,14,2,False,1,False,False,False,False,False,phishing
email.paypal.com>,17,3,False,2,False,False,False,False,False,phishing
ebay.com>,9,2,False,3,False,False,False,False,False,phishing
paypal.com>,11,2,False,2,False,False,False,False,False,phishing
ncua.gov>,9,2,False,8,False,False,False,False,False,phishing
bankofthewest.com>,18,2,False,1,False,False,False,False,False,phishing
ebay.com,8,1,False,5,False,True,False,False,False,phishing
paypal.com>,11,2,False,3,False,False,False,False,False,phishing
ebay.com>,9,2,False,4,False,False,False,False,False,phishing
bankofthewest.com>,18,2,False,1,False,False,False,False,False,phishing
ebay.com,8,1,False,4,False,False,False,False,False,phishing
ebay.com>,9,2,False,2,False,False,False,False,False,phishing
paypal.com>,11,2,False,5,False,False,False,False,False,phishing
email.paypal.com>,17,3,False,2,False,False,False,False,False,phishing
paypal.com>,11,2,False,1,False,False,False,False,False,phishing
ebay.com>,9,2,False,6,False,False,False,False,False,phishing
paypal.com>,11,2,False,1,False,False,False,False,False,phishing
paypal.com>,11,2,False,1,False,False,False,False,False,phishing
email.paypal.com>,17,3,False,2,False,False,False,False,False,phishing
email.paypal.com>,17,3,False,2,False,False,False,False,False,phishing
email.paypal.com>,17,3,False,2,False,False,False,False,False,phishing
paypal.com>,11,2,False,1,False,False,False,False,False,phishing
eBay.com>,9,2,False,5,False,False,False,False,False,phishing
deutschebanc.de>,16,2,False,1,False,False,False,False,False,phishing
paypal.com,10,1,False,1,False,True,False,False,False,phishing
ebay.com>,9,2,False,1,False,False,False,False,False,phishing
winners.winningdaily.com>,25,3,False,0,False,False,False,False,False,phishing
ebay.com>,9,2,False,1,False,False,False,False,False,phishing
ncua.gov>,9,2,False,19,False,False,False,False,False,phishing
ebay.com>,9,2,False,1,False,False,False,False,False,phishing
paypal.com>,11,2,False,1,False,False,False,False,False,phishing
reply3.ebay.com>,16,3,False,32,False,False,False,False,False,phishing
ebay.com>,9,2,False,7,False,False,False,False,False,phishing
ebay.com>,9,2,False,12,False,False,False,False,False,phishing
bankofthewest.com,17,1,False,1,False,False,False,False,False,phishing
paypal.com>,11,2,False,5,False,False,False,False,False,phishing
ebay.com>,9,2,False,2,False,True,False,False,False,phishing
ebay.com>,9,2,False,2,False,False,False,False,False,phishing
eBay.com>,9,2,False,7,False,False,False,False,False,phishing
paypal.com>,11,2,False,1,False,False,False,False,False,phishing
paypal.com>,11,2,False,1,False,False,False,False,False,phishing
wests.com>,10,2,False,1,False,False,False,False,False,phishing
wellsfargo.com>,15,2,False,9,False,False,False,False,False,phishing
wellsfargo.com,14,1,False,9,False,False,False,False,False,phishing
reply.ebay.com>,15,3,False,12,False,False,False,False,False,phishing
email.paypal.com>,17,3,False,2,False,False,False,False,False,phishing
eaby.com>,9,2,False,0,False,False,False,False,False,phishing
lasallebank.com>,16,2,False,1,False,False,False,False,False,phishing
eBay.com>,9,2,False,14,False,True,False,False,False,phishing
init.paypal.com>,16,3,False,2,False,False,False,False,False,phishing
ebay.com>,9,2,False,5,False,False,False,False,False,phishing
paypal.com>,11,2,False,1,False,False,False,False,False,phishing
ebay.com>,9,2,False,5,False,False,False,False,False,phishing
paypal.com>,11,2,False,3,False,False,False,False,False,phishing
postbank.de>,12,2,False,2,False,False,False,False,False,phishing
visa.com>,9,2,False,1,False,False,False,False,False,phishing
